"from","to","n"
"Fernández García, Alejandro","Revista Contemporánea",3
"Fernández García, Alejandro","Trofeos",1
"Fernández Ríos, Ovidio","Panida",1
"Fernández Villegas, Francisco","Revista Literaria. Publicación Mensual",1
"Fernández, Manuel M.","Revista Literaria. Publicación Mensual",2
"Fernández, Rafael César","Revista Literaria. Publicación Mensual",1
"Ferrari, Emilio","Revista Literaria. Publicación Mensual",1
"Ferrer L., Eduardo","El Repertorio. Revista Mensual Ilustrada",1
"Ferrer, Jesús","La Bohemia Alegre",4
"Ferrero, Guillermo","Revista Moderna. (Enciclopedia colombiana)",1
"Fleuriot-Kerinou, Francis","Revista Literaria. Publicación Mensual",1
"Flórez Galindo, Federico ","Revista Literaria. Publicación Mensual",1
"Flórez Álvarez, Ester","La Gruta",2
"Flórez Álvarez, Ester","Trofeos",1
"Flórez, Julio","El Repertorio. Revista Mensual Ilustrada",2
"Flórez, Julio","La Gruta",3
"Flórez, Julio","Lectura Amena",2
"Fort, Paul","Panida",3
"Fort, Paul","Trofeos",4
"France, Anatole","Panida",1
"Francisco, Julio de","La Gruta",7
"Francisco, Julio de","Lectura y Arte",1
"Francisco, Ricardo de","Revista Literaria. Publicación Mensual",1
"Franco, Enrique","Revista Literaria. Publicación Mensual",1
"Francés, José","Panida",1
"Frontaura, Carlos","Revista Literaria. Publicación Mensual",1
"Fx. B.","Lectura Amena",1
"Féval, Paul","El Repertorio. Revista Mensual Ilustrada",1
"Gabriac, Alexis de","Revista Literaria. Publicación Mensual",1
"Gaitán O., Gustavo","La Gruta",2
"Gaitán O., Gustavo","Revista Contemporánea",2
"Galindo, Aníbal","Revista Literaria. Publicación Mensual",1
"Gamboa, Isaías","Lectura Amena",1
"Gamboa, Mateo","Lectura Amena",1
"Gamero, Luis ","Alpha",1
"Garavito Armero, Julio","Cultura",2
"Garay, Epifanio","Cultura",2
"Garay, Epifanio","Lectura y Arte",2
"Garcés, Enrique","Cultura",3
"Garcés, Leopoldo","El Montañés",2
"García Calvo, Federico ","Revista Contemporánea",1
"García Mérou, Martín","Revista Literaria. Publicación Mensual",1
"García Ortiz, Laureano","Cultura",1
"García Ortiz, Laureano","Revista Contemporánea",3
"García Rico, Francisco","La Gruta",1
"García Samudio, Nicolás","Cultura",5
"García Zamudio, Nicolás","Cultura",1
"García, Evaristo","Revista Literaria. Publicación Mensual",1
"García, Juan Crisóstomo","Revista Moderna. (Enciclopedia colombiana)",1
"Gartner, Hugo","Alpha",1
