source,target,weigth
"Camacho Roldán, Salvador",Revista Moderna. (Enciclopedia colombiana),1
"Camacho, Martín",CULTURA,1
"Camba, Julio",Gente Vieja,1
"Cambronero, Carlos",Helios,1
"Campo, Carlos del",La Bohemia Alegre,1
"Campo, Ángel de",Revista Azul,84
"Campoamor, Ramón de",Germinal,5
"Campoamor, Ramón de",La Vida Literaria,1
"Campoamor, Ramón de",Revista Azul,12
"Campoamor, Ramón de",Revista Literaria. Publicación Mensual,3
"Campoamor, Ramón de",Vida Nueva,1
"Camporredondo, Adolfo F.",Instantáneas,1
"Campos Campaña, Francisco",Alma Española,1
"Campos Cervera, Herib",Gente Vieja,1
"Campos, Rubén M.",Revista Azul,1
"Camps, Gabriel",La Habana Literaria,1
"Camões, Luís de",El Nuevo Mercurio,1
"Canalejas y Méndez, José",Gente Vieja,2
"Canals, Ricard",Luz,3
"Canals, Salvador",Alma Española,1
"Canario, P.",La Vida Literaria,1
"Cancio Tobón, Juan",El Repertorio. Revista Mensual Ilustrada,1
"Cancio, Leopoldo",La Habana Literaria,1
"Candamo, Bernardo G. de",Arte Joven,2
"Candamo, Bernardo G. de",Gente Vieja,1
"Candamo, Bernardo G. de",Helios,2
"Candamo, Bernardo G. de",La Vida Literaria,2
"Candamo, Bernardo G. de",Revista Nueva Spain,15
"Canga Argüelles, José",Alma Española,2
"Canivell i Masbernat, Eudald",La Vida Literaria,1
"Cano Gutiérrez, Fidel",Alpha,4
"Cano Gutiérrez, Fidel",CULTURA,3
"Cano Gutiérrez, Fidel",El Montañés,1
"Cano Gutiérrez, Fidel",El Repertorio. Revista Mensual Ilustrada,4
"Cano Gutiérrez, Fidel",La Bohemia Alegre,1
"Cano Gutiérrez, Fidel",Lectura Amena,5
"Cano Gutiérrez, Fidel",Lectura y Arte,1
"Cano Isaza, F.",Lectura y Arte,1
"Cano Villegas, Gabriel",Alpha,1
"Cano Villegas, Gabriel",CULTURA,1
"Cano y Masas, Leopoldo",Gente Vieja,19
"Cano, Antonio José",Alpha,4
"Cano, Antonio José",Lectura Amena,7
"Cano, Antonio José",Lectura y Arte,4
"Cano, Antonio José",Panida,1
"Cano, Antonio José",Revista Contemporánea,1
"Cano, Antonio José",Trofeos,1
"Cano, Carlos",Gente Vieja,13
"Cano, Carlos",La Vida Literaria,1
"Cano, Francisco Antonio",El Montañés,14
"Cano, Francisco Antonio",El Repertorio. Revista Mensual Ilustrada,21
"Cano, Francisco Antonio",Lectura y Arte,28
"Cano, Luis",Alpha,3
"Cano, Luis",CULTURA,1
"Cano, Luis",Lectura Amena,10
"Cansinos-Asséns, Rafael",Helios,3
"Cansinos-Asséns, Rafael",Renacimiento,1
"Cantillo, Liborio D.",La Gruta,1
"Cantó Vilaplana, Gonzalo",Revista Literaria. Publicación Mensual,1
"Cané, Miguel",La Bibliotéca,34
"Capdepón Maseres, Mariano",Gente Vieja,29
"Capella, Francisco",Gente Vieja,2
"Capuana, Luigi",Revista Literaria. Publicación Mensual,1
"Capus, Alfred",Germinal,1
"Capus, Alfred",Helios,1
Caramba,La Vida Literaria,2
"Carbonell, Gonzalo",La Gruta,1
"Carcody, Rafael",La Vida Literaria,1
"Cardenas, Bernardino",Lectura Amena,1
"Carducci, Giosuè",Revista Azul,2
"Carducci, Giosuè",Revista Literaria. Publicación Mensual,1
"Carducci, Giosuè",Revista Moderna. (Enciclopedia colombiana),1
"Carducci, Giosuè",Trofeos,8
"Carlo, Juan B.",La Vida Literaria,4
Carlota,Gente Vieja,1
"Carlyle, Thomas",Germinal,1
"Carlyle, Thomas",Revista Literaria. Publicación Mensual,1
"Carmena y Millán, Luis",Gente Vieja,1
"Carner, Josep",Helios,7
"Carner, Josep",Renacimiento,1
"Caro, José Eusebio",Revista Literaria. Publicación Mensual,16
"Caro, Luis Alejandro",CULTURA,1
"Caro, Miguel Antonio",CULTURA,1
"Caro, Miguel Antonio",Revista Azul,1
"Caro, Miguel Antonio",Revista Literaria. Publicación Mensual,10
"Caro, Miguel Antonio",Revista Moderna. (Enciclopedia colombiana),2
"Caro, Víctor Eduardo",CULTURA,1
"Carranza, Adolfo Pedro",Revista Literaria. Publicación Mensual,1
"Carranza, N. de",Gente Vieja,1
"Carrasquilla L., Juan de Dios",Alpha,1
"Carrasquilla L., Juan de Dios",Revista Contemporánea,3
"Carrasquilla, Ricardo",Revista Literaria. Publicación Mensual,1
"Carrasquilla, Tomás",Alpha,13
"Carrasquilla, Tomás",El Montañés,6
"Carrasquilla, Tomás",El Repertorio. Revista Mensual Ilustrada,1
"Carrasquilla, Tomás",Lectura Amena,1
"Carrera, Enrique",La Vida Literaria,1
"Carrere Moreno, Emilio",Revista Moderna. (Enciclopedia colombiana),1
"Carrere, Jean",El Nuevo Mercurio,1
"Carretero, J.",La Vida Literaria,1
"Carretero, Manuel",Alma Española,11
"Carretero, Tomás",La Vida Literaria,2
"Carreño, Pedro M.",Revista Moderna. (Enciclopedia colombiana),1
"Carricarte, Arturo R. de",Alpha,1
"Carricarte, Arturo R. de",El Nuevo Mercurio,1
"Carriego, Evaristo",Panida,2
"Carrier-Belleuse, Albert-Ernest",Instantáneas,1
"Carrillo, Adolfo",Revista Azul,1
"Carrillo, E. G.",Revista Azul,1
"Carrillo, Enrique A.",Revista Moderna. (Enciclopedia colombiana),5
"Carrière, Eugène",Luz,1
Cartulino,La Vida Literaria,1
Cartílago,Instantáneas,2
"Carvajal Borrero, Mario",CULTURA,15
