Source,Target,Type,Id,Label,Weight
Alma Española,"Beránger, José María",Directed,4216,,1
Alpha,"Betancourt Villegas, Félix",Directed,4217,,4
CULTURA,"Betancourt Villegas, Félix",Directed,4218,,1
Lectura y Arte,"Betancourt Villegas, Félix",Directed,4219,,1
CULTURA,"Betancourt, Pedro Pablo",Directed,4220,,1
Luz i Sombra,"Bettelini, J. Luis",Directed,4221,,1
La Bibliotéca,"Beuf, François-César",Directed,4222,,1
El Montañés,"Beyle, Henri",Directed,4223,,1
Revista Azul,"Beyle, Henri",Directed,4224,,4
Germinal,"Beyle, Pierre Marie",Directed,4225,,1
Gente Vieja,"Bher, Alejandro",Directed,4226,,40
El Nuevo Mercurio,Bi-Caho-Ph,Directed,4227,,1
Revista Literaria. Publicación Mensual,"Biart, Lucien",Directed,4228,,1
La Bibliotéca,"Bidau, Eduardo L.",Directed,4229,,3
Revista Moderna. (Enciclopedia colombiana),"Bilac, Olavo",Directed,4230,,1
Germinal,"Bilbao, Gonzalo",Directed,4231,,1
Revista Azul,"Billini, Miguel",Directed,4232,,1
Gente Vieja,Binich,Directed,4233,,1
Revista Moderna. (Enciclopedia colombiana),"Bissière, Roger",Directed,4234,,1
Revista Literaria. Publicación Mensual,"Blaine, James G.",Directed,4235,,1
El Repertorio. Revista Mensual Ilustrada,"Blanc, Charles",Directed,4236,,1
Germinal,"Blanc, Louis",Directed,4237,,1
Luz,"Blanca, José María",Directed,4238,,3
Instantáneas,"Blanco A., Arturo",Directed,4239,,1
Lectura Amena,"Blanco Asenjo, Ricardo",Directed,4240,,1
Lectura Amena,"Blanco Fombona, Rufino",Directed,4241,,2
Revista Moderna. (Enciclopedia colombiana),"Blanco Fombona, Rufino",Directed,4242,,3
Trofeos,"Blanco Fombona, Rufino",Directed,4243,,5
Revista Literaria. Publicación Mensual,"Blanco y Sánchez, Rufino",Directed,4244,,3
Lectura Amena,"Blanco, Héctor",Directed,4245,,1
Luz i Sombra,"Blanco, Ramiro",Directed,4246,,1
El Nuevo Mercurio,"Blanco-Fombona, Rufino",Directed,4247,,3
Helios,"Blanco-Fombona, Rufino",Directed,4248,,4
Revista Azul,"Blanco-Fombona, Rufino",Directed,4249,,2
Luz i Sombra,"Blas, Ruy",Directed,4250,,8
Alma Española,"Blasco Ibáñez, Vicente",Directed,4251,,2
Alpha,"Blasco Ibáñez, Vicente",Directed,4252,,1
Germinal,"Blasco Ibáñez, Vicente",Directed,4253,,1
Lectura y Arte,"Blasco Ibáñez, Vicente",Directed,4254,,1
Vida Nueva,"Blasco Ibáñez, Vicente",Directed,4255,,6
Gente Vieja,"Blasco, Eusebio",Directed,4256,,3
Germinal,"Blasco, Eusebio",Directed,4257,,4
Instantáneas,"Blasco, Eusebio",Directed,4258,,1
Luz i Sombra,"Blasco, Eusebio",Directed,4259,,1
Revista Azul,"Blasco, Eusebio",Directed,4260,,2
Vida Nueva,"Blasco, Eusebio",Directed,4261,,9
Luz i Sombra,"Blest Gana, Guillermo",Directed,4262,,1
Revista Azul,"Blouët, Léon Paul ",Directed,4263,,1
La Habana Literaria,"Blowitz, Adolphe Opper de",Directed,4264,,2
Revista Nueva Spain,"Bloy, Léon",Directed,4265,,1
Gente Vieja,Boabdil,Directed,4266,,1
Alma Española,"Bobadilla, Emilio",Directed,4267,,10
El Nuevo Mercurio,"Bobadilla, Emilio",Directed,4268,,2
Lectura Amena,"Bobadilla, Emilio",Directed,4269,,1
Trofeos,"Bocquet, León",Directed,4270,,1
Revista Azul,"Boex, Joseph-Henry-Honoré",Directed,4271,,1
Revista Azul,"Boex, Séraphin-Justin-François",Directed,4272,,1
La Gruta,"Bohemia, Juan de",Directed,4273,,1
Revista Azul,"Boissier y Díaz, Carlos Alberto",Directed,4274,,1
Revista Literaria. Publicación Mensual,"Boixet i Castells, Ezequiel",Directed,4275,,1
Revista Azul,"Bolet Peraza, Nicanor",Directed,4276,,16
Revista Azul,"Bolet, C. C.",Directed,4277,,1
Revista Azul,"Bolívar, Rafael",Directed,4278,,2
El Montañés,"Bolívar, Simón",Directed,4279,,1
Revista Moderna. (Enciclopedia colombiana),"Bolívar, Simón",Directed,4280,,1
Alma Española,"Bonafoux y Quintero, Luis",Directed,4281,,4
El Nuevo Mercurio,"Bonafoux y Quintero, Luis",Directed,4282,,1
Revista Azul,"Bonafoux y Quintero, Luis",Directed,4283,,1
Alma Española,"Bonaparte, Napoléon",Directed,4284,,1
Luz i Sombra,Bonefoie,Directed,4285,,9
Alpha,"Bonilla, Manuel Antonio",Directed,4286,,2
Lectura Amena,"Bonis, J. M.",Directed,4287,,1
Revista Moderna. (Enciclopedia colombiana),"Bonnard, Abel",Directed,4288,,1
Vida Nueva,"Bonnefon, Jean de",Directed,4289,,1
Revista Contemporánea,"Borda, Francisco de Paula",Directed,4290,,1
Revista Literaria. Publicación Mensual,"Borda, José Joaquín",Directed,4291,,2
Instantáneas,"Borgia, I. de",Directed,4292,,1
Alma Española,"Borglum, Solon Hannibal",Directed,4293,,4
Gente Vieja,"Borras, Enrique",Directed,4294,,1
La Habana Literaria,"Borrero Echeverría, Esteban",Directed,4295,,2
La Habana Literaria,"Borrero, Juana",Directed,4296,,1
Revista Azul,"Borrero, Juana",Directed,4297,,5
Alpha,"Botero Guerra, Camilo",Directed,4298,,1
El Montañés,"Botero Guerra, Camilo",Directed,4299,,1
El Repertorio. Revista Mensual Ilustrada,"Botero Guerra, Camilo",Directed,4300,,2
Lectura Amena,"Botero Guerra, Camilo",Directed,4301,,2
El Repertorio. Revista Mensual Ilustrada,"Botero Ruiz, Juan José",Directed,4302,,2
Lectura y Arte,"Botero Ruiz, Juan José",Directed,4303,,1
El Montañés,"Botero, Manuel E.",Directed,4304,,3
Revista Azul,"Botta, Anne C. Lynch",Directed,4305,,1
Revista Nueva Spain,"Bouchaud, Pierre de",Directed,4306,,1
Revista Literaria. Publicación Mensual,"Bouet, Carlos",Directed,4307,,1
Lectura Amena,"Bouret, Alonso",Directed,4308,,1
El Repertorio. Revista Mensual Ilustrada,"Bourget, Paul",Directed,4309,,1
Germinal,"Bourget, Paul",Directed,4310,,1
Lectura Amena,"Bourget, Paul",Directed,4311,,1
Lectura y Arte,"Bourget, Paul",Directed,4312,,1
Revista Azul,"Bourget, Paul",Directed,4313,,25
Luz i Sombra,"Boza, Luis Roberto",Directed,4314,,3
Instantáneas,"Bozo Valenzuela, Carlos",Directed,4315,,7
Instantáneas,"Bozo Valenzuela, Julio",Directed,4316,,10
Helios,"Brandes, Georg",Directed,4317,,1
Lectura Amena,"Breen, M.",Directed,4318,,1
Gente Vieja,"Bremón, Leopoldo",Directed,4319,,6
El Nuevo Mercurio,"Brenes Mesén, Roberto",Directed,4320,,1
Revista Azul,"Brenes Mesén, Roberto",Directed,4321,,1
Instantáneas,"Brescia, Domenico",Directed,4322,,1
Gente Vieja,"Bretón, T.",Directed,4323,,2
Alma Española,"Bretón, Tomás",Directed,4324,,1
Trofeos,"Briand, Aristide",Directed,4325,,1
Instantáneas,"Briceño, Antonio S.",Directed,4326,,1
La Vida Literaria,"Briceño, Antonio S.",Directed,4327,,1
La Gruta,"Briceño, Manuel",Directed,4328,,1
Trofeos,"Briceño, Manuel",Directed,4329,,1
Revista Moderna. (Enciclopedia colombiana),"Brisay, Henry de",Directed,4330,,2
Alpha,"Brooks, Adam",Directed,4331,,1
El Nuevo Mercurio,"Brulat, Paul",Directed,4332,,1
Gente Vieja,"Bryant, William Cullen",Directed,4333,,2
Revista Azul,"Bryant, William Cullen",Directed,4334,,2
Arte Joven,"Buen, Demófilo de",Directed,4335,,1
Luz i Sombra,"Buenafé, F.",Directed,4336,,3
Alma Española,"Bueno, Manuel",Directed,4337,,4
Gente Vieja,"Bueno, Manuel",Directed,4338,,1
La Vida Literaria,"Bueno, Manuel",Directed,4339,,1
Revista Contemporánea,"Bueno, Manuel",Directed,4340,,1
Revista Nueva Spain,"Bueno, Manuel",Directed,4341,,2
Vida Nueva,"Bueno, Manuel",Directed,4342,,2
Luz i Sombra,Bull Mich,Directed,4343,,1
Instantáneas,"Bull, John",Directed,4344,,13
Vida Nueva,"Bulloes, Francisco",Directed,4345,,1
Alma Española,"Burell, Julio",Directed,4346,,1
Germinal,"Burell, Julio",Directed,4347,,2
Gente Vieja,"Burgos, Javier de",Directed,4348,,2
Revista Literaria. Publicación Mensual,"Burns, Robert",Directed,4349,,1
Gente Vieja,"Bustillo, Eduardo",Directed,4350,,1
Revista Azul,"Bustillos, José María",Directed,4351,,7
Gente Vieja,"Buxadé, José",Directed,4352,,1
Revista Azul,"Byrne, Bonifacio",Directed,4353,,6
Germinal,"Byron, George Gordon",Directed,4354,,1
Revista Azul,"Byron, George Gordon",Directed,4355,,1
Gente Vieja,"Bécquer, Gustavo Adolfo",Directed,4356,,1
Germinal,"Bécquer, Gustavo Adolfo",Directed,4357,,1
Panida,"Bécquer, Gustavo Adolfo",Directed,4358,,1
Revista Azul,"Bélot, Adolphe",Directed,4359,,1
Revista Azul,"Béranger, Pierre-Jean de",Directed,4360,,3
