Source,Target,Type,Id,Label,Weight,n
Revista Literaria. Publicación Mensual,"Obligado, Rafael",Directed,800,,1,1
Alpha,"Olano, Ricardo",Directed,801,,1,1
El Montañés,"Olano, Ricardo",Directed,802,,2,2
Lectura Amena,"Olano, Ricardo",Directed,803,,1,1
Lectura y Arte,"Olano, Ricardo",Directed,804,,2,2
Lectura y Arte,"Olarte, Enrique",Directed,805,,1,1
CULTURA,"Olaya Herrera, Enrique",Directed,806,,1,1
Revista Moderna. (Enciclopedia colombiana),"Olaya Herrera, Enrique",Directed,807,,1,1
Trofeos,"Olaya Herrera, Enrique",Directed,808,,1,1
CULTURA,"Onorato, Desiderio",Directed,809,,1,1
Revista Literaria. Publicación Mensual,"Orbigny, Alcide Charles Victor Marie Dessalines de",Directed,810,,1,1
Lectura y Arte,"Orrego Barros, Antonio",Directed,811,,1,1
Revista Contemporánea,"Ortega, Alfredo",Directed,812,,4,4
CULTURA,"Ortega, Alfredo Tomás",Directed,813,,1,1
Revista Moderna. (Enciclopedia colombiana),"Ortiz V., Manuel",Directed,814,,1,1
Revista Literaria. Publicación Mensual,"Ortiz, José Joaquín",Directed,815,,2,2
Revista Literaria. Publicación Mensual,"Ortiz, Nicolás",Directed,816,,1,1
Revista Literaria. Publicación Mensual,"Ortiz, Rafael",Directed,817,,1,1
Revista Literaria. Publicación Mensual,"Ortiz, Venancio",Directed,818,,2,2
Alpha,"Ospina Vásquez, Mariano",Directed,819,,8,8
El Montañés,"Ospina Vásquez, Mariano",Directed,820,,25,25
La Gruta,"Ospina Vásquez, Mariano",Directed,821,,1,1
Lectura y Arte,"Ospina Vásquez, Mariano",Directed,822,,6,6
Alpha,"Ospina Vásquez, Tulio",Directed,823,,1,1
El Montañés,"Ospina Vásquez, Tulio",Directed,824,,5,5
Lectura y Arte,"Ospina Vásquez, Tulio",Directed,825,,1,1
El Montañés,"Ospina, Pedro Nel",Directed,826,,3,3
El Repertorio. Revista Mensual Ilustrada,"Ospina, Pedro Nel",Directed,827,,1,1
La Bohemia Alegre,"Ospina, Pedro Nel",Directed,828,,1,1
Trofeos,"Ossa, Valentín",Directed,829,,1,1
Revista Literaria. Publicación Mensual,"Ossorio y Bernard, Manuel",Directed,830,,2,2
Trofeos,"Ouvré, Henry",Directed,831,,1,1
La Gruta,P. A.,Directed,832,,1,1
La Gruta,"Paillié, Francisco A.",Directed,833,,1,1
Revista Contemporánea,"Paillié, Francisco A.",Directed,834,,1,1
Trofeos,"Paillié, Francisco A.",Directed,835,,2,2
El Repertorio. Revista Mensual Ilustrada,"Palacio M., Obdulio",Directed,836,,2,2
Alpha,"Palacio Muñoz, Obdulio",Directed,837,,2,2
El Montañés,"Palacio Muñoz, Obdulio",Directed,838,,1,1
Trofeos,"Palacio Uribe, Benjamín",Directed,839,,1,1
Lectura Amena,"Palacio Uribe, Tomás",Directed,840,,1,1
Panida,"Palacio, Eduardo A.",Directed,841,,1,1
Revista Literaria. Publicación Mensual,"Palacio, Manuel del",Directed,842,,5,5
Revista Literaria. Publicación Mensual,"Palacios, Eustaquio",Directed,843,,1,1
Lectura Amena,"Palma, Clemente",Directed,844,,3,3
Alpha,"Paláu R., Antonio M.",Directed,845,,1,1
CULTURA,"Paláu, Alfonso",Directed,846,,16,16
Revista Literaria. Publicación Mensual,"Paláu, Melchor de",Directed,847,,1,1
Panida,"Papini, Giovanni",Directed,848,,1,1
Alpha,"Pardo Farelo, Enrique",Directed,849,,3,3
CULTURA,"Pardo Farelo, Enrique",Directed,850,,2,2
Revista Moderna. (Enciclopedia colombiana),"Pardo Farelo, Enrique",Directed,851,,1,1
Trofeos,"Pardo Farelo, Enrique",Directed,852,,2,2
La Gruta,"Parma, Juan de",Directed,853,,1,1
Panida,"Parra Toro, Libardo",Directed,854,,5,5
Alpha,"Parville, Henry de",Directed,855,,1,1
CULTURA,"París, Gonzalo",Directed,856,,2,2
Lectura Amena,"París, Luis",Directed,857,,1,1
