NombreR,NumContrib,Colaborador,Roles,Seudonimo,PaisOrigen,Titulo,NumFasciculo,Fecha,Traduccion,Traductor,Lengua,LenguaOriginal,Tipo,TipoIndice,Dedicatoria,ObrasResenadas,CantidadPaginas,Paginacion,Comentarios
Trofeos,213,"Gomperz, Theodor",Creador,NA,Austria,Juicio sobre Sócrates (I),10/11/23,10/06/07,Sí,Directores,Español,Alemán,Prosa Ficción,NA,NA,NA,4,343-347,Transferencia: traducción
Trofeos,214,"Lipparini, Giuseppe",Creador,NA,Italia,Carducci y D' Annunzio,10/11/23,10/06/07,Sí,Directores,Español,Italiano,Prosa No ficción,NA,NA,NA,1,347-348,"Transferencia: traducción. Este texto es tomado de La ""Tribuna"" Roma lo dicen así los editores: "" De un artículo del señor Guiseppe Liparini, publicado en la Tribuna (Roma), tomamos lo siguiente"""
Trofeos,215,"Blanco Fombona, Rufino",Creador,NA,Venezuela,D Ismael López,10/11/23,10/06/07,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,0.8,348,Transferencia: correspondencia de R. Blanco Fombona con Ismael López
Trofeos,216,Anónimo,Creador,NA,NA,Trofeos,12,20/07/07,No,NA,Español,NA,Prosa No ficción,NA,NA,NA,2,NA,Sumario e información de la revista
Trofeos,217,Anónimo,Creador,NA,NA,NA,12,20/07/07,No,NA,Español,NA,Publicidad,NA,NA,NA,4,NA,Transferencias: En esta páginas de publicidad ofrecen una cantidad de itinerarios de viajes a diferentes países
Trofeos,218,Anónimo,Ilustrador,NA,NA,M. De Heredia,12,20/07/07,No,NA,NA,NA,Imagen,NA,NA,NA,0.5,349,NA
Trofeos,219,"Gómez Restrepo, Antonio",Creador,NA,Colombia,José María de Heredia,12,20/07/07,No,NA,NA,NA,Prosa No ficción,Prosa,NA,NA,05/05/23,349-354,Transferencias: comentario crítico sobre autor extranjero
Trofeos,220,"Heredia, José María de",Creador,NA,Cuba,Los conquistadores,12,20/07/07,Sí,"Caro, Miguel Antonio",Español,Francés,Poesía,NA,NA,NA,0.5,355,Transferencias: traducción
Trofeos,221,"Heredia, José María de",Creador,NA,Cuba,El olvido,12,20/07/07,Sí,"Pombo, Rafel",Español,Francés,Poesía,NA,NA,NA,0.5,355,Transferencias: traducción
Trofeos,222,"Heredia, José María de",Creador,NA,Cuba,Sol Poniente,12,20/07/07,Sí,"Valencia, Guillermo",Español,Francés,Poesía,NA,NA,NA,0.5,356,Transferencias: traducción
Trofeos,223,"Heredia, José María de",Creador,NA,Cuba,Las ninfas,12,20/07/07,Sí,"Valderrama, Felipe",Español,Francés,Poesía,NA,NA,NA,0.5,356,Transferencias: traducción
Trofeos,224,"Heredia, José María de",Creador,NA,Cuba,A un triunfador,12,20/07/07,Sí,"Valderrama, Felipe",Español,Francés,Poesía,NA,NA,NA,0.5,357,Transferencias: traducción
Trofeos,225,"Heredia, José María de",Creador,NA,Cuba,La heredad,12,20/07/07,Sí,Felipe Valderrama,Español,Francés,Poesía,NA,NA,NA,0.5,357,Transferencias: traducción
Trofeos,226,"Heredia, José María de",Creador,NA,Cuba,El esclavo,12,20/07/07,Sí,"Castillo, Eduardo",Español,Francés,Poesía,NA,NA,NA,0.5,358,Transferencias: traducción
Trofeos,227,"Heredia, José María de",Creador,NA,Cuba,A la manera de Petrarcar,12,20/07/07,Sí,"Castillo, Eduardo",Español,Francés,Poesía,NA,NA,NA,0.5,358,Transferencias: traducción
Trofeos,228,"Heredia, José María de",Creador,NA,Cuba,La vida de los muertos,12,20/07/07,Sí,"Caro, Antonio José",Español,Francés,Poesía,NA,"Silvestre, Armand",NA,0.5,359,Transferencias: traducción
Trofeos,229,"Heredia, José María de",Creador,NA,Cuba,El cydno,12,20/07/07,Sí,"Londoño, Víctor Manuel",Español,Francés,Poesía,NA,NA,NA,0.5,359,Transferencias: traducción
